stock_no,product_size,profit,product_type,weight,product_name
1,3.05,205.36,clothing,5.1,polo
737,7.91,0.12,food,10.14,yoghurt
1766,7.51,0.38,clothing,12.11,polo
5784,1.45,0.45,furniture,14.99,shelves
5110,9.39,0.57,food,10.95,beef
8205,7.7,0.61,food,3.55,sauce
1578,7.16,0.7,food,7.0,quinoa
9514,4.72,0.89,furniture,13.23,desk
8920,4.2,0.91,food,9.0,wrap
802,8.08,0.92,furniture,2.78,sofa
5924,3.81,1.08,clothing,16.54,polo
2750,6.97,1.41,clothing,3.13,shirt
8443,6.84,1.63,furniture,4.39,dining table
1226,9.49,1.67,furniture,1.74,cot
7133,4.05,1.78,furniture,3.17,shelves
7826,1.88,1.84,clothing,0.6,polo
1539,4.54,1.89,furniture,6.57,bed
6900,2.25,2.28,furniture,10.13,dining table
8173,1.15,2.34,furniture,3.26,press
6383,3.6,2.57,furniture,8.22,shelves
5002,7.09,2.63,furniture,5.42,press
114,7.6,2.71,clothing,4.54,dress
9041,7.45,2.72,clothing,13.15,skirt
3180,7.9,2.75,furniture,1.28,bed
110,9.43,2.84,furniture,10.75,cot
5339,1.55,2.85,clothing,8.71,trousers
8584,9.46,2.9,food,0.99,noodles
1973,3.64,2.95,food,18.03,ice cream
7920,6.74,3.26,furniture,2.3,dining table
160,9.78,3.43,food,18.64,ice cream
7329,7.19,3.45,furniture,8.07,cot
5442,3.2,3.57,furniture,8.99,press
4177,6.87,3.63,furniture,14.12,shelves
865,8.93,3.67,food,0.99,yoghurt
3532,4.71,3.7,clothing,7.38,skirt
3076,2.17,3.73,food,0.76,wrap
11,0.1,3.89,furniture,17.39,chair
1462,3.15,4.04,furniture,3.19,chair
4137,5.19,4.09,clothing,6.37,polo
4625,8.45,4.09,clothing,18.34,shirt
9594,5.58,4.2,clothing,1.28,skirt
9120,4.55,4.39,furniture,3.74,press
2848,4.32,4.49,food,5.46,bread
7675,4.37,4.65,clothing,1.64,t-shirt
1776,8.79,4.81,clothing,17.8,dress
1748,1.66,4.82,food,1.42,beef
5320,4.28,4.83,clothing,14.02,jeans
639,5.5,4.89,food,0.09,wrap
474,6.72,4.93,furniture,15.74,chair
3883,1.33,4.96,furniture,17.3,press
7566,2.99,5.0,food,16.09,roll
6953,5.77,5.02,furniture,17.35,dining table
5269,1.48,5.18,furniture,9.02,press
9369,1.64,5.63,clothing,2.52,polo
6294,1.01,5.81,clothing,16.78,trousers
1503,3.28,5.88,clothing,9.14,underwear
6622,2.09,5.98,clothing,5.91,t-shirt
8951,3.13,6.32,food,13.7,beef
8562,8.25,6.33,food,4.54,roll
6148,1.42,6.39,clothing,17.22,skirt
8179,5.9,6.42,food,10.78,wrap
442,2.09,6.44,clothing,12.15,trousers
1548,0.09,6.59,furniture,1.27,chair
8824,2.26,6.59,food,6.23,wrap
7590,8.82,6.63,furniture,17.91,press
774,2.46,6.64,furniture,13.28,press
6156,1.67,6.76,clothing,4.7,dress
5437,6.02,6.86,food,1.05,sauce
4574,4.97,7.04,clothing,11.79,jeans
9190,1.83,7.04,clothing,12.28,trousers
6740,1.04,7.23,furniture,8.59,press
2778,1.39,7.38,furniture,19.87,shelves
8003,7.43,7.4,furniture,2.49,desk
2654,5.09,7.56,clothing,10.64,underwear
7218,5.94,7.57,clothing,0.03,trousers
129,2.45,7.66,clothing,5.13,tie
6079,9.6,7.73,clothing,2.89,tie
1256,9.46,7.76,food,3.13,sauce
9685,9.68,7.78,furniture,4.73,cot
8095,7.26,7.82,clothing,1.44,tie
6538,4.9,7.85,food,2.22,yoghurt
764,2.21,7.88,food,18.85,beef
8156,6.45,7.99,furniture,12.41,shelves
1409,3.17,8.03,furniture,19.05,cot
9003,2.57,8.04,clothing,9.48,skirt
5782,9.62,8.14,clothing,1.41,shirt
7075,6.61,8.24,furniture,1.5,desk
3844,9.03,8.34,furniture,3.95,dining table
1297,2.92,8.35,furniture,0.32,dining table
8497,3.83,8.39,food,14.65,chicken
8259,4.65,8.55,food,6.0,noodles
5963,4.6,8.59,clothing,4.89,skirt
537,2.44,8.65,food,11.59,ice cream
69,3.09,8.7,food,9.45,noodles
2731,6.78,8.75,clothing,2.72,skirt
5374,6.39,9.01,clothing,18.36,shirt
5325,3.58,9.05,food,11.4,yoghurt
7262,1.81,9.06,furniture,8.13,sofa
8016,6.95,9.17,clothing,13.62,trousers
4841,2.08,9.22,food,19.03,bread
5596,0.63,9.27,food,18.62,wrap
2191,0.51,9.56,clothing,15.33,polo
9125,6.34,9.57,clothing,19.56,shirt
724,9.32,9.64,food,17.98,bread
3053,0.27,9.8,furniture,5.42,chair
311,2.25,9.81,clothing,8.37,shirt
6616,5.18,9.82,furniture,9.33,cot
1049,1.1,9.84,food,8.86,wrap
4710,6.48,9.85,clothing,16.56,socks
6330,9.79,10.2,furniture,11.3,chair
4914,0.39,10.38,furniture,8.68,desk
3923,0.25,10.47,clothing,19.65,shirt
4644,9.32,10.65,food,17.56,chicken
9722,8.79,10.8,furniture,4.17,bed
8111,2.85,10.98,clothing,12.7,socks
661,4.56,11.1,clothing,3.34,socks
5271,0.84,11.1,food,11.7,rice
3136,4.62,11.27,food,6.86,noodles
2359,8.68,11.45,furniture,4.84,chair
5707,5.13,11.46,clothing,9.11,shirt
4747,2.61,11.47,clothing,7.93,shirt
8684,6.99,11.52,food,4.59,beef
1227,6.36,11.6,food,1.37,rice
8891,6.0,11.64,food,10.09,quinoa
1982,1.5,11.65,furniture,4.84,shelves
4640,5.18,11.66,food,15.53,yoghurt
4654,6.69,11.67,furniture,7.19,bed
3842,0.06,11.85,clothing,12.29,t-shirt
7106,8.74,11.88,clothing,13.62,skirt
8917,4.62,11.95,food,19.42,yoghurt
2810,7.44,12.18,clothing,3.38,skirt
2296,0.02,12.22,clothing,3.58,trousers
3007,8.15,12.22,food,14.28,quinoa
3521,5.88,12.26,clothing,10.29,skirt
9907,3.98,12.29,furniture,17.37,shelves
6975,6.13,12.44,furniture,0.58,press
2724,1.26,12.45,clothing,18.39,trousers
7318,8.0,12.45,food,1.72,quinoa
2234,9.6,12.65,furniture,10.45,press
1747,9.04,12.69,furniture,18.78,bed
6615,5.41,13.01,furniture,7.63,sofa
2856,9.26,13.09,food,5.41,bread
516,2.53,13.14,clothing,18.63,skirt
2497,4.39,13.29,food,15.86,beef
6604,1.01,13.31,furniture,17.94,press
990,5.88,13.44,furniture,15.01,bed
8239,6.36,13.57,food,19.17,yoghurt
8449,9.77,13.59,food,8.07,ice cream
2269,3.67,13.74,food,12.06,beef
3369,4.24,13.78,food,18.12,quinoa
1888,8.17,13.9,food,6.41,sauce
9461,9.13,13.94,furniture,17.89,press
2400,3.5,13.97,furniture,7.07,desk
2229,3.9,14.0,clothing,10.02,trousers
3761,1.34,14.0,clothing,8.93,tie
2449,9.98,14.08,furniture,11.76,dining table
6841,9.79,14.27,furniture,3.33,desk
6038,7.66,14.52,food,10.28,quinoa
5883,9.21,14.76,furniture,3.83,sofa
5541,0.76,14.81,clothing,0.81,dress
4780,2.7,14.98,furniture,10.21,desk
5736,4.87,15.04,furniture,17.5,sofa
611,9.46,15.45,food,5.6,quinoa
2601,5.49,15.53,furniture,19.89,chair
4532,4.02,15.56,furniture,1.57,sofa
9675,3.34,15.68,food,5.06,roll
7302,0.86,15.71,furniture,12.81,press
7381,8.29,15.93,food,7.31,noodles
4804,8.22,16.02,food,8.96,yoghurt
8335,7.59,16.11,furniture,2.15,bed
1706,6.98,16.33,clothing,4.12,dress
9583,9.9,16.48,food,13.43,chicken
6677,6.3,16.59,food,7.98,roll
7365,6.92,16.67,clothing,15.07,dress
1737,4.39,16.83,furniture,16.41,desk
799,1.66,16.95,food,5.76,ice cream
8344,3.26,17.15,clothing,19.12,jeans
4843,2.96,17.55,clothing,11.3,socks
536,0.62,17.75,food,1.58,rice
3235,3.77,17.76,furniture,17.5,chair
3713,1.1,17.85,furniture,11.89,cot
6331,5.04,17.88,furniture,1.83,sofa
2554,8.35,17.93,clothing,11.9,jeans
6283,6.27,18.09,clothing,13.76,socks
7612,6.61,18.09,furniture,17.99,cot
4504,0.03,18.22,food,11.36,quinoa
9596,7.5,18.33,food,18.47,ice cream
438,7.02,18.35,food,13.1,bread
9587,1.02,18.5,food,15.1,beef
6105,8.78,18.56,clothing,3.68,t-shirt
9884,1.73,18.66,food,12.04,wrap
5253,7.75,18.67,clothing,1.98,skirt
715,1.02,18.8,furniture,13.24,chair
44,9.11,18.84,clothing,19.6,jeans
1850,9.49,19.02,furniture,13.23,sofa
8294,6.69,19.4,food,4.35,noodles
1599,2.98,19.5,food,16.62,whey
5942,7.07,19.64,furniture,10.97,dining table
1632,5.83,19.74,food,13.71,quinoa
6375,3.15,19.97,clothing,8.28,jeans
3863,1.67,20.11,clothing,14.93,trousers
4604,3.51,20.15,food,16.96,whey
5843,0.21,20.15,food,15.79,whey
9847,4.43,20.25,clothing,4.35,shirt
